,user,weekday,H,RT,U,O,RC,A,S
45,user_5,3,0.0,0.0,0.925035360678925,0.0,0.0,0.0,0.07496463932107496
46,user_5,4,0.007670850767085077,0.0,0.9923291492329149,0.0,0.0,0.0,0.0
47,user_5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,user_5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,user_8,0,0.0076726342710997444,0.0,0.4117647058823529,0.0,0.0,0.0,0.5805626598465473
50,user_8,1,0.020855057351407715,0.0,0.5443169968717414,0.0,0.0,0.0,0.4348279457768509
51,user_8,2,0.034926470588235295,0.0,0.3915441176470588,0.0,0.0,0.0,0.5735294117647058
52,user_8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,user_8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,user_8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,user_8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,user_9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,user_9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,user_9,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,user_9,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,user_9,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,user_9,5,0.5582137161084529,0.030303030303030304,0.0,0.3157894736842105,0.0,0.0,0.09569377990430622
62,user_9,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
