,user,hour,labels,weekday,day_type,charging_type,bluetooth,wifi,charging_status,clusters,daytime,prev_cluster,next_cluster
138,user_8,19,182,0,WD,1,3,1,1,1,4,3,1
139,user_8,13,183,2,WD,1,4,1,1,1,3,1,7
140,user_8,19,184,0,WD,1,3,1,1,7,4,1,7
141,user_8,13,184,2,WD,1,4,1,1,7,3,7,3
142,user_8,14,185,2,WD,1,3,1,1,3,3,7,3
143,user_8,15,185,2,WD,1,4,1,1,3,3,3,1
144,user_9,21,186,0,WD,1,4,2,1,1,5,3,1
145,user_9,20,186,4,WD,1,4,2,1,1,5,1,4
146,user_9,11,187,5,WD,1,4,1,1,4,2,1,4
147,user_9,17,188,5,WD,1,3,1,1,4,4,4,2
148,user_9,17,189,5,WD,1,3,1,1,2,4,4,2
149,user_9,18,189,5,WD,1,3,1,1,2,4,2,7
150,user_9,18,190,5,WD,1,3,1,1,7,4,2,7
151,user_9,20,190,5,WD,1,3,1,1,7,5,7,-1
